model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,bolivia,Agriculture,AFOLU,Agroforestry,Agroforestry,Emissions,CO2,CO2,Mha,0.0656217121582649,0.0733927000813043,0.0820789519857538,0.0917870188901818,0.1026355437271994,0.1147565554019332,0.1282968815910895,0.1434196860224868,0.1603061347341689,0.1791571940136821,0.2001955602167816,0.2236677182928983,0.2498461214033681,0.2790314782810811,0.3115551276895406,0.347781470213849,0.3881104163556019,0.4329797962025736,0.4828676595132332,0.5382943756544066,0.5998244203077909,0.6680677102221001,0.7436803187697556,0.827364374244259,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471,0.8471
PD22,baseline,bolivia,Agriculture,AFOLU,Biochar,Biochar,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bolivia,Agriculture,AFOLU,Cropland Soil Health,Cropland Soil Health,Emissions,CO2,CO2,Mha,0.1388786200012472,0.1542949427491507,0.1712868347499156,0.1899841792644729,0.2105205135092354,0.233031401380528,0.2576523738327329,0.2845163998566333,0.3137508645397493,0.3454740506485774,0.3797911472576903,0.4167898433545136,0.4565356054850848,0.4990667847369166,0.5443897467692684,0.5924742649156979,0.6432494550497694,0.696600555496853,0.71,0.7091999999999999,0.7083999999999999,0.7076,0.7068,0.7060000000000001,1.353,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PD22,baseline,bolivia,Agriculture,AFOLU,Improved Rice,Improved Rice,Emissions,CH4,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bolivia,Agriculture,AFOLU,Nitrogen Fertilizer Management,Nitrogen Fertilizer Management,Emissions,N2O,N2O,Percent adoption,0.005206552264736,0.0054887824372537,0.005768216953559,0.0060431673865528,0.0063120543100707,0.0065734414727764,0.0068260629975455,0.007068842722534,0.0073009053899495,0.0075215799408891,0.0077303956385522,0.0079270720848185,0.0081115044033207,0.0082837449402471,0.0084439828001343,0.00859252241397,0.0087297621600664,0.008856173852092,0.00897228369686,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736,0.00897736
PD22,baseline,bolivia,Agriculture,AFOLU,Optimal Intensity,Optimal Intensity,Emissions,CO2,CO2,Mha,0.0271011449423004,0.0303181000324099,0.0339158595096864,0.0379392359046505,0.0424382487082918,0.0474687126807039,0.0530928884148063,0.0593802006640764,0.0664080301421244,0.0742625846169783,0.083039855122324,0.0928466629478976,0.1038018026999226,0.1160372860755874,0.1296996899916786,0.1449516112523469,0.1619732279172256,0.1809639648029744,0.2021442569579535,0.2257574003077884,0.2520714727708937,0.2813813017598256,0.3140104448737201,0.3503131395018546,0.3906761637645849,0.4355205355204631,0.4853029579458544,0.5405168994495638,0.601693172611883,0.6693998518995352,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335,0.7335
PD22,baseline,bolivia,Forests & Wetlands,AFOLU,Avoided Coastal Impacts,Avoided Coastal Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bolivia,Forests & Wetlands,AFOLU,Avoided Forest Conversion,Avoided Forest Conversion,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bolivia,Forests & Wetlands,AFOLU,Avoided Peat Impacts,Avoided Peat Impacts,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,bolivia,Forests & Wetlands,AFOLU,Coastal Restoration,Coastal Restoration,Emissions,CO2,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
