model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
PD22,baseline,gabon,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,1358.9996999999998,1452.5998,1528.19875,1632.6008000000002,1621.80095,1710.00005,1756.798,1552.1577,1661.5818,1430.55005,1816.6316,1875.7673924721505,1934.9031849443008,1994.0389774164512,2053.174769888601,2112.310562360752,2159.8993049048613,2207.488047448973,2255.0767899930825,2302.6655325371944,2350.254275081304,2409.8664108770245,2469.4785466727453,2529.0906824684585,2588.7028182641893,2648.31495405992,2707.6848467459536,2767.0547394319874,2826.424632118021,2885.7945248040546,2945.164417490088,3003.484931893407,3061.805446296701,3120.125960699995,3178.4464751033142,3236.7669895066083,3328.498755055968,3420.2305206053265,3511.962286154686,3603.694051704045,3695.425817253404,3732.4846263819472,3807.5107663582735,3882.536906334626,3957.5630463109273,4032.58918628728,4107.615326263605,4182.641466239933,4257.66760621626,4332.693746192611,4407.7198861689385,4482.746026145241,4557.772166121592,4632.79830609792,4707.824446074246,4782.850586050573,4857.876726026924,4932.902866003225,5007.929005979577,5082.955145955903,5157.981285932255
PD22,baseline,gabon,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,251.9993,241.2015,269.9984,266.4019,356.4014,341.9988,367.1991,367.2703,347.0397,362.8155,381.7441,394.1708021861052,406.5975043722105,419.0242065583157,431.4509087444209,443.87761093052615,453.8778342518824,463.8780575732392,473.8782808945954,483.8785042159522,493.8787275373086,506.40552775834135,518.9323279793741,531.4591282004054,543.9859284214403,556.5127286424753,568.988624278402,581.4645199143287,593.9404155502552,606.4163111861819,618.8922068221085,631.1475877603417,643.4029686985697,655.6583496367977,667.9137305750309,680.1691115132588,699.4454800852088,718.7218486571587,737.9982172291087,757.2745858010586,776.5509543730086,784.3384340897809,800.1043088448699,815.8701835999641,831.6360583550477,847.401933110142,863.1678078652307,878.9336826203197,894.6995573754087,910.4654321305028,926.231306885592,941.9971816406756,957.7630563957698,973.5289311508589,989.2948059059476,1005.0606806610366,1020.8265554161308,1036.5924301712143,1052.3583049263086,1068.1241796813977,1083.890054436492
PD22,baseline,gabon,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,gabon,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,gabon,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,18.972,18.972,18.972,18.972,18.972,18.972,18.972,18.972,20.3688,20.3688,20.3688,21.031854154571977,21.69490830914396,22.35796246371593,23.021016618287906,23.684070772859886,24.21765478578384,24.751238798707814,25.284822811631763,25.81840682455574,26.351990837479693,27.020385943893054,27.688781050306417,28.357176156719696,29.025571263133173,29.69396636954665,30.359645349337203,31.02532432912776,31.691003308918308,32.35668228870887,33.02236126849942,33.676274199320574,34.330187130141454,34.98410006096233,35.638012991783484,36.29192592260436,37.32045916298275,38.34899240336114,39.377525643739546,40.40605888411794,41.43459212449634,41.85011031287172,42.69133339847136,43.53255648407127,44.373779569670624,45.21500265527055,46.05622574087017,46.89744882646981,47.73867191206945,48.57989499766936,49.42111808326901,50.26234116886837,51.10356425446828,51.944787340067926,52.78601042566756,53.62723351126719,54.4684565968671,55.30967968246645,56.150902768066366,56.992125853666,57.83334893926592
PD22,baseline,gabon,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,3265.2000000000003,3024.0,3268.8,3369.6,2858.4,3304.8,2955.6,3326.4504,3521.1996000000004,3521.1996000000004,3531.3840000000005,3646.339168325528,3761.294336651056,3876.249504976584,3991.204673302111,4106.159841627638,4198.668484546977,4291.177127466321,4383.685770385659,4476.194413305003,4568.703056224343,4684.584197207927,4800.465338191512,4916.346479175083,5032.227620158687,5148.108761142293,5263.519001233446,5378.929241324599,5494.339481415752,5609.749721506906,5725.1599615980585,5838.53029570193,5951.900629805753,6065.270963909576,6178.641298013447,6292.01163211727,6470.3307195716325,6648.649807025994,6826.968894480357,7005.28798193472,7183.607069389083,7255.646378633507,7401.491089412601,7547.335800191742,7693.180510970786,7839.025221749928,7984.869932529019,8130.714643308113,8276.559354087207,8422.404064866349,8568.248775645443,8714.093486424488,8859.93819720363,9005.782907982724,9151.627618761817,9297.47232954091,9443.317040320051,9589.161751099096,9735.006461878236,9880.851172657329,10026.69588343647
PD22,baseline,gabon,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,18.9704,18.9704,18.9704,18.9704,18.9704,18.9704,18.9704,18.9704,20.3688,20.3688,20.3688,21.031854154571977,21.69490830914396,22.35796246371593,23.021016618287906,23.684070772859886,24.21765478578384,24.751238798707814,25.284822811631763,25.81840682455574,26.351990837479693,27.020385943893054,27.688781050306417,28.357176156719696,29.025571263133173,29.69396636954665,30.359645349337203,31.02532432912776,31.691003308918308,32.35668228870887,33.02236126849942,33.676274199320574,34.330187130141454,34.98410006096233,35.638012991783484,36.29192592260436,37.32045916298275,38.34899240336114,39.377525643739546,40.40605888411794,41.43459212449634,41.85011031287172,42.69133339847136,43.53255648407127,44.373779569670624,45.21500265527055,46.05622574087017,46.89744882646981,47.73867191206945,48.57989499766936,49.42111808326901,50.26234116886837,51.10356425446828,51.944787340067926,52.78601042566756,53.62723351126719,54.4684565968671,55.30967968246645,56.150902768066366,56.992125853666,57.83334893926592
PD22,baseline,gabon,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,3265.2016,3024.0,3268.798,3369.5994,2858.3995,3304.8003,2955.6003,3326.4503,3521.2014,3521.2014,3531.3858,3646.3410269199208,3761.296253839842,3876.251480759762,3991.206707679683,4106.161934599604,4198.670624672001,4291.179314744404,4383.688004816801,4476.196694889203,4568.705384961601,4684.5865850115615,4800.467785061522,4916.348985111467,5032.230185161448,5148.111385211428,5263.521684128931,5378.931983046435,5494.342281963937,5609.752580881442,5725.162879798944,5838.5332716893945,5951.903663579797,6065.274055470199,6178.644447360649,6292.014839251051,6470.334017597358,6648.653195943664,6826.972374289971,7005.291552636278,7183.610730982585,7255.650076946537,7401.494862064892,7547.339647183295,7693.184432301599,7839.029217420003,7984.874002538355,8130.71878765671,8276.563572775065,8422.408357893468,8568.253143011823,8714.09792813013,8859.942713248533,9005.787498366888,9151.632283485242,9297.477068603595,9443.321853721998,9589.166638840305,9735.011423958706,9880.85620907706,10026.700994195464
PD22,baseline,gabon,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,gabon,Electric Power,Electricity and Heat,Onshore wind energy,ONSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
