model,scenario,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,Forests & Wetlands,Emissions,Drained organic soils (N2O),EM,Emissions,CO2e,AFOLU,Mt,0.2322138,0.2322138,0.2322138,0.2322138,0.2322138,0.2337153,0.2332512,0.2328416999999999,0.2329782,0.2328416999999999,0.2328144,0.2316132,0.2307669,0.2307942,0.2302209,0.2306304,0.2306304,0.2307123,0.2308761,0.2308761,0.2307396,0.2305212,0.2306304,0.2306304,0.2306304,0.2306304,0.2294292,0.2289105,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182
PD22,baseline,Forests & Wetlands,Emissions,Savanna fires,EM,Emissions,CO2e,AFOLU,Mt,0.0096757199999999,0.0096757199999999,0.0096757199999999,0.0096757199999999,0.0096757199999999,0.0096757199999999,0.00579204,0.00745488,0.00879129,0.00591201,0.00330336,0.00392274,0.01928448,0.0110986199999999,0.00855135,0.0080826299999999,0.00486576,0.00176328,0.0050331599999999,0.00406782,0.01184076,0.00200322,0.00987939,0.0112130099999999,0.0083393099999999,0.02012985,0.01934307,0.01680975,0.01146132,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999,0.0127279799999999
PD22,baseline,Forests & Wetlands,Emissions,Savanna fires,EM,Emissions,CO2e,AFOLU,Mt,0.0086541,0.0086541,0.0086541,0.0086541,0.0086541,0.0086541,0.005187,0.0066612,0.0078624,0.0052962,0.0029484,0.0034944,0.0172263,0.0099099,0.007644,0.0072345,0.0043407,0.0015833999999999,0.0045045,0.0036309,0.0105651,0.0018018,0.0088179,0.0100191,0.0074529,0.0179907,0.0172809,0.015015,0.0102374999999999,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841,0.0113841
PD22,baseline,Forests & Wetlands,Emissions,Fires in humid tropical forests,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Forests & Wetlands,Emissions,Fires in humid tropical forests,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Forests & Wetlands,Emissions,Forest fires,EM,Emissions,CO2e,AFOLU,Mt,0.00498294,0.00498294,0.00498294,0.00498294,0.00498294,0.00498294,0.0061742699999999,0.01473678,0.02233953,0.0058534199999999,0.00469278,0.0,0.0095390099999999,0.0,0.0,0.00020646,0.0,0.0,0.00020646,0.00034596,0.0015205499999999,6.975e-05,0.0,0.00227943,0.00020646,0.0,0.0015903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Forests & Wetlands,Emissions,Forest fires,EM,Emissions,CO2e,AFOLU,Mt,0.0021294,0.0021294,0.0021294,0.0021294,0.0021294,0.0021294,0.0017744999999999,0.0042315,0.0064154999999999,0.0016926,0.0013376999999999,0.0,0.0085176,0.0,0.0,0.0001910999999999,0.0,0.0,0.0001910999999999,0.0003003,0.001365,5.4600000000000006e-05,0.0,0.0020475,0.0001910999999999,0.0,0.0014195999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,Forests & Wetlands,Emissions,Fires in organic soils,EM,Emissions,CO2e,AFOLU,Mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,pathway,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CO2e,AFOLU,Mt,0.77179212,0.7984421999999999,0.7671663,0.7329608999999999,0.6945314399999999,0.56202597,0.6327440999999999,0.6782015699999999,0.76582431,0.87838128,0.86352732,0.94787739,0.97298181,1.14597018,1.22412924,1.28615931,1.4402705399999998,1.5293664,1.63092519,1.6741534499999997,1.7948265299999997,1.6569726299999998,1.61371926,1.61477946,1.59677001,1.82922444,1.6800822,1.68326838,1.7589555,1.7824863599999998,1.795630557272727,1.8087747545454549,1.8219189518181813,1.8350631490909088,1.848207346363636,1.861351543636364,1.8744957409090908,1.887639938181818,1.9007841354545447,1.9139283327272727,1.92707253,1.947527415,1.9679823,1.988437185,2.0088920699999995,2.029346955,2.04980184,2.070256725,2.09071161,2.111166495,2.13162138,2.152076265,2.17253115,2.192986035,2.21344092,2.233895805,2.25435069,2.274805575,2.29526046,2.315715345,2.33617023
PD22,pathway,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0269011799999999,0.02844126,0.0273698999999999,0.02629854,0.0253332,0.02021355,0.02235069,0.02418093,0.0264129299999999,0.0310052699999999,0.03074859,0.0334883699999999,0.03507309,0.0406809899999999,0.0462303,0.0504097199999999,0.0579482999999999,0.0620635499999999,0.06591096,0.06926175,0.07419447,0.0716472,0.07795818,0.07865847,0.0782399699999999,0.0978453,0.09884412,0.1000298699999999,0.09174078,0.08970129,0.0901854818181818,0.0906696736363636,0.0911538654545454,0.0916380572727272,0.0921222490909091,0.0926064409090909,0.0930906327272727,0.0935748245454545,0.0940590163636363,0.0945432081818181,0.0950274,0.096771708,0.098516016,0.100260324,0.102004632,0.1037489399999999,0.1054932479999999,0.107237556,0.108981864,0.1107261719999999,0.11247048,0.114214788,0.115959096,0.117703404,0.119447712,0.12119202,0.122936328,0.124680636,0.1264249439999999,0.1281692519999999,0.1299135599999999
PD22,pathway,Agriculture,Emissions,Manure Management,EM,Emissions,CO2e,AFOLU,Mt,0.0177723,0.0205022999999999,0.0208572,0.0212121,0.0214851,0.0173355,0.0194376,0.0206114999999999,0.0185367,0.0238056,0.0256619999999999,0.0271362,0.0298662,0.0312585,0.045318,0.0534261,0.0703247999999999,0.0757575,0.0781053,0.0847665,0.0907998,0.0927108,0.1264809,0.1291563,0.1295385,0.1877966999999999,0.2101007999999999,0.2138136,0.1681134,0.1560741,0.1567789363636363,0.1574837727272727,0.158188609090909,0.1588934454545454,0.1595982818181818,0.1603031181818182,0.1610079545454545,0.1617127909090909,0.1624176272727272,0.1631224636363636,0.1638273,0.16862664,0.17342598,0.17822532,0.18302466,0.187824,0.19262334,0.19742268,0.2022220199999999,0.20702136,0.2118206999999999,0.2166200399999999,0.22141938,0.2262187199999999,0.23101806,0.2358173999999999,0.24061674,0.2454160799999999,0.2502154199999999,0.25501476,0.2598141
PD22,pathway,Agriculture,Emissions,Rice Cultivation,EM,Emissions,CO2e,AFOLU,Mt,0.01331109,0.0132803999999999,0.0130850999999999,0.009765,0.0033200999999999,0.00123039,0.003906,0.00631377,0.00809379,0.00960597,0.00833094,0.00994077,0.0125438399999999,0.0148567499999999,0.02376243,0.02718855,0.02740896,0.02930337,0.03604122,0.02818737,0.02534157,0.0284970599999999,0.0287118899999999,0.03431142,0.0464228099999999,0.0589889699999999,0.06528879,0.0616813199999999,0.06680376,0.06424533,0.0646940127272727,0.0651426954545454,0.0655913781818181,0.0660400609090909,0.0664887436363636,0.0669374263636363,0.0673861090909091,0.0678347918181818,0.0682834745454545,0.0687321572727272,0.06918084,0.07103061,0.07288038,0.07473015,0.07657992,0.07842969,0.08027946,0.08212923,0.083979,0.08582877,0.08767854,0.08952831,0.09137808,0.09322785,0.09507762,0.0969273899999999,0.0987771599999999,0.1006269299999999,0.1024766999999999,0.1043264699999999,0.10617624
PD22,pathway,Agriculture,Emissions,Synthetic Fertilizers,EM,Emissions,CO2e,AFOLU,Mt,0.0069615,0.0037674,0.0025388999999999,0.0022659,0.0017017,0.0011375,0.0005732999999999,0.0005732999999999,0.0005732999999999,0.0005732999999999,0.0005732999999999,0.0005732999999999,0.0049959,0.0049959,0.0040404,0.0069069,0.0033579,0.0146328,0.0159159,0.0030303,0.0005459999999999,0.0004368,0.013104,0.03822,0.0394212,0.063063,0.0246246,0.0246246,0.0246246,0.0246246,0.0261558818181818,0.0276871636363636,0.0292184454545454,0.0307497272727272,0.032281009090909,0.0338122909090909,0.0353435727272727,0.0368748545454545,0.0384061363636363,0.0399374181818181,0.0414687,0.04354077,0.04561284,0.04768491,0.04975698,0.05182905,0.05390112,0.05597319,0.05804526,0.06011733,0.0621894,0.06426147,0.06633354,0.0684056099999999,0.07047768,0.07254975,0.07462182,0.07669389,0.07876596,0.08083803,0.0829101
PD22,pathway,Agriculture,Emissions,Manure applied to Soils,EM,Emissions,CO2e,AFOLU,Mt,0.0195740999999999,0.0217581,0.0224133,0.0228774,0.0228501,0.0177996,0.0206934,0.0212667,0.0205841999999999,0.0253616999999999,0.0262625999999999,0.0279552,0.0302211,0.0320502,0.0432159,0.0497679,0.0631995,0.0680588999999999,0.0708162,0.0763035,0.081627,0.082173,0.1061697,0.1082445,0.1082172,0.1522520999999999,0.1674309,0.1703247,0.1378376999999999,0.1293201,0.1298710636363636,0.1304220272727272,0.1309729909090909,0.1315239545454545,0.1320749181818181,0.1326258818181818,0.1331768454545454,0.133727809090909,0.1342787727272727,0.1348297363636363,0.1353807,0.1390552799999999,0.14272986,0.14640444,0.1500790199999999,0.1537536,0.15742818,0.1611027599999999,0.16477734,0.16845192,0.1721265,0.17580108,0.1794756599999999,0.18315024,0.18682482,0.1904993999999999,0.19417398,0.19784856,0.20152314,0.20519772,0.2088723
PD22,pathway,Agriculture,Emissions,Manure left on Pasture,EM,Emissions,CO2e,AFOLU,Mt,0.3831555,0.3975971999999999,0.3833466,0.3681132,0.3518423999999999,0.2699151,0.3039036,0.3232046999999999,0.366093,0.4202835,0.4127214,0.4511052,0.4677036,0.5486754,0.5923008,0.6296199,0.6993987,0.7519239000000001,0.8093904000000001,0.8345337,0.8907717,0.8407581,0.8099091,0.8117928,0.7978970999999999,0.9010911,0.8293467,0.8397207,0.8731086,0.8839467,0.8906327181818181,0.8973187363636363,0.9040047545454544,0.9106907727272726,0.9173767909090907,0.924062809090909,0.9307488272727272,0.9374348454545456,0.9441208636363636,0.9508068818181816,0.9574929,0.967901025,0.9783091499999998,0.9887172749999998,0.9991253999999998,1.009533525,1.01994165,1.030349775,1.0407579,1.051166025,1.06157415,1.071982275,1.0823904,1.092798525,1.10320665,1.113614775,1.1240229,1.134431025,1.14483915,1.155247275,1.1656554
PD22,pathway,Agriculture,Emissions,Crop Residues,EM,Emissions,CO2e,AFOLU,Mt,0.0448266,0.0517062,0.0470105999999999,0.0336881999999999,0.0164892,0.0247338,0.0328419,0.0366911999999999,0.0348075,0.034671,0.0598142999999999,0.0651378,0.0672672,0.0692054999999999,0.0680316,0.0746928,0.0760031999999999,0.0751296,0.0767676,0.0841932,0.0938301,0.0909908999999999,0.0979251,0.1019382,0.0908271,0.0880152,0.0954135,0.0959594999999999,0.0986622,0.1048047,0.1066735090909091,0.1085423181818181,0.1104111272727272,0.1122799363636363,0.1141487454545454,0.1160175545454545,0.1178863636363636,0.1197551727272727,0.1216239818181818,0.1234927909090909,0.1253616,0.12818442,0.13100724,0.13383006,0.13665288,0.1394757,0.14229852,0.14512134,0.14794416,0.15076698,0.1535898,0.15641262,0.15923544,0.16205826,0.16488108,0.1677039,0.17052672,0.17334954,0.17617236,0.17899518,0.181818
PD22,pathway,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.00803241,0.0074855699999999,0.0066736799999999,0.0041626799999999,0.0031889699999999,0.0039896999999999,0.00482112,0.0061324199999999,0.0057808799999999,0.00593154,0.00728469,0.00858483,0.00861831,0.00878571,0.00990729,0.00971199,0.0099854099999999,0.01226205,0.0120527999999999,0.01201374,0.01492929,0.0178532099999999,0.02011311,0.0231542099999999,0.01897758,0.01991502,0.0200043,0.0244097099999999,0.02440134,0.02386008,0.0231258027272727,0.0223915254545454,0.0216572481818181,0.0209229709090909,0.0201886936363636,0.0194544163636363,0.018720139090909,0.0179858618181818,0.0172515845454545,0.0165173072727272,0.0157830299999999,0.0160058114999999,0.016228593,0.0164513744999999,0.016674156,0.0168969374999999,0.017119719,0.0173425004999999,0.017565282,0.0177880635,0.0180108449999999,0.0182336265,0.018456408,0.0186791895,0.018901971,0.0191247525,0.019347534,0.0195703155,0.019793097,0.0200158785,0.02023866
PD22,pathway,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CO2e,AFOLU,Mt,0.0020475,0.001911,0.0016926,0.0010647,0.000819,0.0010101,0.0012284999999999,0.0015561,0.0014742,0.0015015,0.0018563999999999,0.0021839999999999,0.0021839999999999,0.0022386,0.0025116,0.0024569999999999,0.0025388999999999,0.0031122,0.0030575999999999,0.0030575999999999,0.0037947,0.0045318,0.0051051,0.0058695,0.0048048,0.0050504999999999,0.0050777999999999,0.0061971,0.0061971,0.0060606,0.0058744636363636,0.0056883272727272,0.0055021909090909,0.0053160545454545,0.0051299181818181,0.0049437818181818,0.0047576454545454,0.004571509090909,0.0043853727272727,0.0041992363636363,0.0040131,0.004069065,0.00412503,0.004180995,0.00423696,0.0042929249999999,0.0043488899999999,0.004404855,0.00446082,0.004516785,0.00457275,0.004628715,0.0046846799999999,0.004740645,0.00479661,0.004852575,0.00490854,0.004964505,0.00502047,0.005076435,0.0051324
PD22,pathway,Forests & Wetlands,Emissions,Drained organic soils (N2O),EM,Emissions,CO2e,AFOLU,Mt,0.2322138,0.2322138,0.2322138,0.2322138,0.2322138,0.2337153,0.2332512,0.2328416999999999,0.2329782,0.2328416999999999,0.2328144,0.2316132,0.2307669,0.2307942,0.2302209,0.2306304,0.2306304,0.2307123,0.2308761,0.2308761,0.2307396,0.2305212,0.2306304,0.2306304,0.2306304,0.2306304,0.2294292,0.2289105,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182,0.2275182
