iso,Subvector,Metric,Model,Scenario,Region,Unit,Value 1,Value 2,Duration 2 (Years),Value 3,Duration 3 (Years),Duration 1 (Years)
SWE,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Sweden,tCO2/ha/yr,2.5976,0,80,NA,NA,20
SWE,Cropland Soil Health,Max extent,PD21,pathway,Sweden,Mha,3.7771,NA,NA,NA,NA,100
CHE,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Switzerland,tCO2/ha/yr,2.6549,0,80,NA,NA,20
CHE,Cropland Soil Health,Max extent,PD21,pathway,Switzerland,Mha,0.5481,NA,NA,NA,NA,100
SYR,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Syria,tCO2/ha/yr,0.6664,0,80,NA,NA,20
SYR,Cropland Soil Health,Max extent,PD21,pathway,Syria,Mha,5.2491,NA,NA,NA,NA,100
TJK,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Tajikistan,tCO2/ha/yr,1.0551,0,80,NA,NA,20
TJK,Cropland Soil Health,Max extent,PD21,pathway,Tajikistan,Mha,2.6296,NA,NA,NA,NA,100
TZA,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Tanzania,tCO2/ha/yr,1.6241,0,80,NA,NA,20
TZA,Cropland Soil Health,Max extent,PD21,pathway,Tanzania,Mha,24.6262,NA,NA,NA,NA,100
THA,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Thailand,tCO2/ha/yr,1.5414,0,80,NA,NA,20
THA,Cropland Soil Health,Max extent,PD21,pathway,Thailand,Mha,30.8006,NA,NA,NA,NA,100
TLS,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Timor-Leste,tCO2/ha/yr,1.2024,0,80,NA,NA,20
TLS,Cropland Soil Health,Max extent,PD21,pathway,Timor-Leste,Mha,0.8064,NA,NA,NA,NA,100
TGO,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Togo,tCO2/ha/yr,1.536,0,80,NA,NA,20
TGO,Cropland Soil Health,Max extent,PD21,pathway,Togo,Mha,2.2981,NA,NA,NA,NA,100
TTO,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Trinidad and Tobago,tCO2/ha/yr,1.6348,0,80,NA,NA,20
TTO,Cropland Soil Health,Max extent,PD21,pathway,Trinidad and Tobago,Mha,0.0712,NA,NA,NA,NA,100
TUN,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Tunisia,tCO2/ha/yr,0.6222,0,80,NA,NA,20
TUN,Cropland Soil Health,Max extent,PD21,pathway,Tunisia,Mha,4.6164,NA,NA,NA,NA,100
TUR,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Turkey,tCO2/ha/yr,0.8524,0,80,NA,NA,20
TUR,Cropland Soil Health,Max extent,PD21,pathway,Turkey,Mha,37.177,NA,NA,NA,NA,100
TKM,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Turkmenistan,tCO2/ha/yr,0.889,0,80,NA,NA,20
TKM,Cropland Soil Health,Max extent,PD21,pathway,Turkmenistan,Mha,4.4736,NA,NA,NA,NA,100
UGA,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Uganda,tCO2/ha/yr,1.7344,0,80,NA,NA,20
UGA,Cropland Soil Health,Max extent,PD21,pathway,Uganda,Mha,10.4499,NA,NA,NA,NA,100
UKR,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Ukraine,tCO2/ha/yr,0.7793,0,80,NA,NA,20
UKR,Cropland Soil Health,Max extent,PD21,pathway,Ukraine,Mha,44.3994,NA,NA,NA,NA,100
ARE,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,United Arab Emirates,tCO2/ha/yr,0.568,0,80,NA,NA,20
ARE,Cropland Soil Health,Max extent,PD21,pathway,United Arab Emirates,Mha,0.2319,NA,NA,NA,NA,100
GBR,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,United Kingdom,tCO2/ha/yr,2.4836,0,80,NA,NA,20
GBR,Cropland Soil Health,Max extent,PD21,pathway,United Kingdom,Mha,6.7637,NA,NA,NA,NA,100
USA,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,United States,tCO2/ha/yr,1.1955,0,80,NA,NA,20
USA,Cropland Soil Health,Max extent,PD21,pathway,United States,Mha,165.1234,NA,NA,NA,NA,100
URY,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Uruguay,tCO2/ha/yr,1.9266,0,80,NA,NA,20
URY,Cropland Soil Health,Max extent,PD21,pathway,Uruguay,Mha,2.734,NA,NA,NA,NA,100
UZB,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Uzbekistan,tCO2/ha/yr,0.9362,0,80,NA,NA,20
UZB,Cropland Soil Health,Max extent,PD21,pathway,Uzbekistan,Mha,8.5564,NA,NA,NA,NA,100
VUT,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Vanuatu,tCO2/ha/yr,2.1845,0,80,NA,NA,20
VUT,Cropland Soil Health,Max extent,PD21,pathway,Vanuatu,Mha,0.0319,NA,NA,NA,NA,100
VEN,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Venezuela,tCO2/ha/yr,1.4986,0,80,NA,NA,20
VEN,Cropland Soil Health,Max extent,PD21,pathway,Venezuela,Mha,10.3419,NA,NA,NA,NA,100
VNM,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Vietnam,tCO2/ha/yr,1.889,0,80,NA,NA,20
VNM,Cropland Soil Health,Max extent,PD21,pathway,Vietnam,Mha,13.0891,NA,NA,NA,NA,100
ESH,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Western Sahara,tCO2/ha/yr,NA,0,80,NA,NA,20
ESH,Cropland Soil Health,Max extent,PD21,pathway,Western Sahara,Mha,NA,NA,NA,NA,NA,NA
YEM,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Yemen,tCO2/ha/yr,0.9238,0,80,NA,NA,20
YEM,Cropland Soil Health,Max extent,PD21,pathway,Yemen,Mha,2.1119,NA,NA,NA,NA,100
ZMB,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Zambia,tCO2/ha/yr,1.6508,0,80,NA,NA,20
ZMB,Cropland Soil Health,Max extent,PD21,pathway,Zambia,Mha,9.0062,NA,NA,NA,NA,100
ZWE,Cropland Soil Health,Avg mitigation potential flux,PD21,pathway,Zimbabwe,tCO2/ha/yr,1.1798,0,80,NA,NA,20
ZWE,Cropland Soil Health,Max extent,PD21,pathway,Zimbabwe,Mha,14.0156,NA,NA,NA,NA,100
AFG,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Afghanistan,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
AFG,Improved Forest Mgmt,Max extent,PD21,pathway,Afghanistan,m3,NA,NA,NA,NA,NA,NA
ALB,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Albania,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
ALB,Improved Forest Mgmt,Max extent,PD21,pathway,Albania,m3,NA,NA,NA,NA,NA,NA
DZA,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Algeria,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
DZA,Improved Forest Mgmt,Max extent,PD21,pathway,Algeria,m3,138600,NA,NA,NA,NA,100
AGO,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Angola,tCO2e/m3/yr,2.6989,NA,NA,NA,NA,100
AGO,Improved Forest Mgmt,Max extent,PD21,pathway,Angola,m3,1151000,NA,NA,NA,NA,100
ARG,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Argentina,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
ARG,Improved Forest Mgmt,Max extent,PD21,pathway,Argentina,m3,NA,NA,NA,NA,NA,NA
ARM,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Armenia,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
ARM,Improved Forest Mgmt,Max extent,PD21,pathway,Armenia,m3,NA,NA,NA,NA,NA,NA
AUS,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Australia,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
AUS,Improved Forest Mgmt,Max extent,PD21,pathway,Australia,m3,NA,NA,NA,NA,NA,NA
AUT,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Austria,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
AUT,Improved Forest Mgmt,Max extent,PD21,pathway,Austria,m3,NA,NA,NA,NA,NA,NA
AZE,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Azerbaijan,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
AZE,Improved Forest Mgmt,Max extent,PD21,pathway,Azerbaijan,m3,NA,NA,NA,NA,NA,NA
BHS,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Bahamas,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
BHS,Improved Forest Mgmt,Max extent,PD21,pathway,Bahamas,m3,17000,NA,NA,NA,NA,100
BGD,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Bangladesh,tCO2e/m3/yr,2.6989,NA,NA,NA,NA,100
BGD,Improved Forest Mgmt,Max extent,PD21,pathway,Bangladesh,m3,33215,NA,NA,NA,NA,100
BLR,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Belarus,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
BLR,Improved Forest Mgmt,Max extent,PD21,pathway,Belarus,m3,NA,NA,NA,NA,NA,NA
BEL,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Belgium,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
BEL,Improved Forest Mgmt,Max extent,PD21,pathway,Belgium,m3,NA,NA,NA,NA,NA,NA
BLZ,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Belize,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
BLZ,Improved Forest Mgmt,Max extent,PD21,pathway,Belize,m3,41000,NA,NA,NA,NA,100
BEN,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Benin,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
BEN,Improved Forest Mgmt,Max extent,PD21,pathway,Benin,m3,422947,NA,NA,NA,NA,100
BTN,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Bhutan,tCO2e/m3/yr,1.6704,NA,NA,NA,NA,100
BTN,Improved Forest Mgmt,Max extent,PD21,pathway,Bhutan,m3,125168,NA,NA,NA,NA,100
BOL,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Bolivia,tCO2e/m3/yr,1.6704,NA,NA,NA,NA,100
BOL,Improved Forest Mgmt,Max extent,PD21,pathway,Bolivia,m3,953000,NA,NA,NA,NA,100
BIH,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Bosnia and Herzegovina,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
BIH,Improved Forest Mgmt,Max extent,PD21,pathway,Bosnia and Herzegovina,m3,NA,NA,NA,NA,NA,NA
BWA,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Botswana,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
BWA,Improved Forest Mgmt,Max extent,PD21,pathway,Botswana,m3,105000,NA,NA,NA,NA,100
BRA,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Brazil,tCO2e/m3/yr,2.6989,NA,NA,NA,NA,100
BRA,Improved Forest Mgmt,Max extent,PD21,pathway,Brazil,m3,897000,NA,NA,NA,NA,100
BRN,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Brunei Darussalam,tCO2e/m3/yr,2.6989,NA,NA,NA,NA,100
BRN,Improved Forest Mgmt,Max extent,PD21,pathway,Brunei Darussalam,m3,107300,NA,NA,NA,NA,100
BGR,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Bulgaria,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
BGR,Improved Forest Mgmt,Max extent,PD21,pathway,Bulgaria,m3,NA,NA,NA,NA,NA,NA
BFA,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Burkina Faso,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
BFA,Improved Forest Mgmt,Max extent,PD21,pathway,Burkina Faso,m3,1171000,NA,NA,NA,NA,100
BDI,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Burundi,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
BDI,Improved Forest Mgmt,Max extent,PD21,pathway,Burundi,m3,362400,NA,NA,NA,NA,100
KHM,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Cambodia,tCO2e/m3/yr,2.6989,NA,NA,NA,NA,100
KHM,Improved Forest Mgmt,Max extent,PD21,pathway,Cambodia,m3,322000,NA,NA,NA,NA,100
CMR,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Cameroon,tCO2e/m3/yr,2.8167,NA,NA,NA,NA,100
CMR,Improved Forest Mgmt,Max extent,PD21,pathway,Cameroon,m3,3264491,NA,NA,NA,NA,100
CAN,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Canada,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
CAN,Improved Forest Mgmt,Max extent,PD21,pathway,Canada,m3,NA,NA,NA,NA,NA,NA
CPV,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Cape Verde,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
CPV,Improved Forest Mgmt,Max extent,PD21,pathway,Cape Verde,m3,NA,NA,NA,NA,NA,NA
CAF,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Central African Republic,tCO2e/m3/yr,2.8167,NA,NA,NA,NA,100
CAF,Improved Forest Mgmt,Max extent,PD21,pathway,Central African Republic,m3,623154,NA,NA,NA,NA,100
TCD,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Chad,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
TCD,Improved Forest Mgmt,Max extent,PD21,pathway,Chad,m3,761000,NA,NA,NA,NA,100
CHL,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Chile,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
CHL,Improved Forest Mgmt,Max extent,PD21,pathway,Chile,m3,NA,NA,NA,NA,NA,NA
CHN,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,China,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
CHN,Improved Forest Mgmt,Max extent,PD21,pathway,China,m3,NA,NA,NA,NA,NA,NA
COL,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Colombia,tCO2e/m3/yr,1.6704,NA,NA,NA,NA,100
COL,Improved Forest Mgmt,Max extent,PD21,pathway,Colombia,m3,2216120,NA,NA,NA,NA,100
COM,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Comoros,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
COM,Improved Forest Mgmt,Max extent,PD21,pathway,Comoros,m3,NA,NA,NA,NA,NA,NA
CRI,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Costa Rica,tCO2e/m3/yr,1.6704,NA,NA,NA,NA,100
CRI,Improved Forest Mgmt,Max extent,PD21,pathway,Costa Rica,m3,1195963,NA,NA,NA,NA,100
CIV,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Cote d'Ivoire,tCO2e/m3/yr,2.8167,NA,NA,NA,NA,100
CIV,Improved Forest Mgmt,Max extent,PD21,pathway,Cote d'Ivoire,m3,2218938,NA,NA,NA,NA,100
HRV,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Croatia,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
HRV,Improved Forest Mgmt,Max extent,PD21,pathway,Croatia,m3,NA,NA,NA,NA,NA,NA
CUB,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Cuba,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
CUB,Improved Forest Mgmt,Max extent,PD21,pathway,Cuba,m3,561000,NA,NA,NA,NA,100
CYP,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Cyprus,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
CYP,Improved Forest Mgmt,Max extent,PD21,pathway,Cyprus,m3,NA,NA,NA,NA,NA,NA
CZE,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Czech Republic,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
CZE,Improved Forest Mgmt,Max extent,PD21,pathway,Czech Republic,m3,NA,NA,NA,NA,NA,NA
PRK,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Democratic People's Republic of Korea (North Korea),tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
PRK,Improved Forest Mgmt,Max extent,PD21,pathway,Democratic People's Republic of Korea (North Korea),m3,NA,NA,NA,NA,NA,NA
COD,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Democratic Republic of the Congo (DRC),tCO2e/m3/yr,3.5526,NA,NA,NA,NA,100
COD,Improved Forest Mgmt,Max extent,PD21,pathway,Democratic Republic of the Congo (DRC),m3,4611013,NA,NA,NA,NA,100
DNK,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Denmark (except Greenland),tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
DNK,Improved Forest Mgmt,Max extent,PD21,pathway,Denmark (except Greenland),m3,NA,NA,NA,NA,NA,NA
DJI,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Djibouti,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
DJI,Improved Forest Mgmt,Max extent,PD21,pathway,Djibouti,m3,NA,NA,NA,NA,NA,NA
DOM,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Dominican Republic,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
DOM,Improved Forest Mgmt,Max extent,PD21,pathway,Dominican Republic,m3,51000,NA,NA,NA,NA,100
ECU,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Ecuador,tCO2e/m3/yr,1.6704,NA,NA,NA,NA,100
ECU,Improved Forest Mgmt,Max extent,PD21,pathway,Ecuador,m3,1745579,NA,NA,NA,NA,100
EGY,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Egypt,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
EGY,Improved Forest Mgmt,Max extent,PD21,pathway,Egypt,m3,NA,NA,NA,NA,NA,NA
SLV,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,El Salvador,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
SLV,Improved Forest Mgmt,Max extent,PD21,pathway,El Salvador,m3,623400,NA,NA,NA,NA,100
GNQ,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Equatorial Guinea,tCO2e/m3/yr,6.8834,NA,NA,NA,NA,100
GNQ,Improved Forest Mgmt,Max extent,PD21,pathway,Equatorial Guinea,m3,750000,NA,NA,NA,NA,100
ERI,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Eritrea,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
ERI,Improved Forest Mgmt,Max extent,PD21,pathway,Eritrea,m3,22495,NA,NA,NA,NA,100
EST,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Estonia,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
EST,Improved Forest Mgmt,Max extent,PD21,pathway,Estonia,m3,NA,NA,NA,NA,NA,NA
ETH,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Ethiopia,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
ETH,Improved Forest Mgmt,Max extent,PD21,pathway,Ethiopia,m3,2649677,NA,NA,NA,NA,100
FLK,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Falkland Islands,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
FLK,Improved Forest Mgmt,Max extent,PD21,pathway,Falkland Islands,m3,NA,NA,NA,NA,NA,NA
FRO,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Faroe Islands,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
FRO,Improved Forest Mgmt,Max extent,PD21,pathway,Faroe Islands,m3,NA,NA,NA,NA,NA,NA
FJI,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Fiji,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
FJI,Improved Forest Mgmt,Max extent,PD21,pathway,Fiji,m3,388688,NA,NA,NA,NA,100
FIN,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Finland,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
FIN,Improved Forest Mgmt,Max extent,PD21,pathway,Finland,m3,NA,NA,NA,NA,NA,NA
FRA,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,France (except French Guiana),tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
FRA,Improved Forest Mgmt,Max extent,PD21,pathway,France (except French Guiana),m3,NA,NA,NA,NA,NA,NA
GUF,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,French Guiana (France),tCO2e/m3/yr,4.4967,NA,NA,NA,NA,100
GUF,Improved Forest Mgmt,Max extent,PD21,pathway,French Guiana (France),m3,83746,NA,NA,NA,NA,100
PYF,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,French Polynesia,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
PYF,Improved Forest Mgmt,Max extent,PD21,pathway,French Polynesia,m3,1000,NA,NA,NA,NA,100
GAB,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Gabon,tCO2e/m3/yr,6.8834,NA,NA,NA,NA,100
GAB,Improved Forest Mgmt,Max extent,PD21,pathway,Gabon,m3,1986750,NA,NA,NA,NA,100
GMB,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,"Gambia, The",tCO2e/m3/yr,2.8167,NA,NA,NA,NA,100
GMB,Improved Forest Mgmt,Max extent,PD21,pathway,"Gambia, The",m3,227500,NA,NA,NA,NA,100
GEO,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Georgia,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
GEO,Improved Forest Mgmt,Max extent,PD21,pathway,Georgia,m3,NA,NA,NA,NA,NA,NA
DEU,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Germany,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
DEU,Improved Forest Mgmt,Max extent,PD21,pathway,Germany,m3,NA,NA,NA,NA,NA,NA
GHA,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Ghana,tCO2e/m3/yr,3.5526,NA,NA,NA,NA,100
GHA,Improved Forest Mgmt,Max extent,PD21,pathway,Ghana,m3,2478393,NA,NA,NA,NA,100
GRC,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Greece,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
GRC,Improved Forest Mgmt,Max extent,PD21,pathway,Greece,m3,NA,NA,NA,NA,NA,NA
GRL,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Greenland (Denmark),tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
GRL,Improved Forest Mgmt,Max extent,PD21,pathway,Greenland (Denmark),m3,NA,NA,NA,NA,NA,NA
GLP,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Guadeloupe,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
GLP,Improved Forest Mgmt,Max extent,PD21,pathway,Guadeloupe,m3,NA,NA,NA,NA,NA,NA
GTM,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Guatemala,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
GTM,Improved Forest Mgmt,Max extent,PD21,pathway,Guatemala,m3,646229,NA,NA,NA,NA,100
GIN,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Guinea,tCO2e/m3/yr,2.8167,NA,NA,NA,NA,100
GIN,Improved Forest Mgmt,Max extent,PD21,pathway,Guinea,m3,651000,NA,NA,NA,NA,100
GNB,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Guinea-Bissau,tCO2e/m3/yr,2.8167,NA,NA,NA,NA,100
GNB,Improved Forest Mgmt,Max extent,PD21,pathway,Guinea-Bissau,m3,131910,NA,NA,NA,NA,100
GUY,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Guyana,tCO2e/m3/yr,4.4967,NA,NA,NA,NA,100
GUY,Improved Forest Mgmt,Max extent,PD21,pathway,Guyana,m3,451282,NA,NA,NA,NA,100
HTI,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Haiti,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
HTI,Improved Forest Mgmt,Max extent,PD21,pathway,Haiti,m3,NA,NA,NA,NA,NA,NA
HND,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Honduras,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
HND,Improved Forest Mgmt,Max extent,PD21,pathway,Honduras,m3,478112,NA,NA,NA,NA,100
HUN,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Hungary,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
HUN,Improved Forest Mgmt,Max extent,PD21,pathway,Hungary,m3,NA,NA,NA,NA,NA,NA
ISL,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Iceland,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
ISL,Improved Forest Mgmt,Max extent,PD21,pathway,Iceland,m3,NA,NA,NA,NA,NA,NA
IND,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,India,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
IND,Improved Forest Mgmt,Max extent,PD21,pathway,India,m3,3008859,NA,NA,NA,NA,100
IDN,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Indonesia,tCO2e/m3/yr,2.6989,NA,NA,NA,NA,100
IDN,Improved Forest Mgmt,Max extent,PD21,pathway,Indonesia,m3,49251648,NA,NA,NA,NA,100
IRN,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Iran,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
IRN,Improved Forest Mgmt,Max extent,PD21,pathway,Iran,m3,NA,NA,NA,NA,NA,NA
IRQ,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Iraq,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
IRQ,Improved Forest Mgmt,Max extent,PD21,pathway,Iraq,m3,NA,NA,NA,NA,NA,NA
IRL,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Ireland,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
IRL,Improved Forest Mgmt,Max extent,PD21,pathway,Ireland,m3,NA,NA,NA,NA,NA,NA
ISR,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Israel,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
ISR,Improved Forest Mgmt,Max extent,PD21,pathway,Israel,m3,NA,NA,NA,NA,NA,NA
ITA,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Italy,tCO2e/m3/yr,NA,NA,NA,NA,NA,NA
ITA,Improved Forest Mgmt,Max extent,PD21,pathway,Italy,m3,NA,NA,NA,NA,NA,NA
JAM,Improved Forest Mgmt,Avg mitigation potential flux,PD21,pathway,Jamaica,tCO2e/m3/yr,1.6224,NA,NA,NA,NA,100
JAM,Improved Forest Mgmt,Max extent,PD21,pathway,Jamaica,m3,151390,NA,NA,NA,NA,100
